n_sampled,n_bitten,n_envenom,cluster_long,cluster_lat,elevation,climate,popden,occupation,climate2,climate3,elevation1,elevation2,occupation1,occupation2,sb_logit_p
135,0,0,81.542088,7.372413,77.35490754,2,61.816,0.34,1,0,77.35490754,0,0.34,0.25,-5.602118821
130,0,0,81.699963,7.405292,23.60615831,1,331.504,0.34,0,0,23.60615831,0,0.34,0.25,-5.564520407
128,3,2,81.69076,7.408379,25.39103888,1,393.544,0.34,0,0,25.39103888,0,0.34,0.25,-3.57954279
111,2,1,81.649933,7.382985,27.709,1,202.014,0.34,0,0,27.709,0,0.34,0.25,-3.779633817
86,0,0,80.825296,8.930118,19.72045007,1,147.974,0.42,0,0,19.72045007,0,0.42,0.33,-5.153291594
125,0,0,80.964575,8.899699,10.36850612,1,55.348,0.12,0,0,10.36850612,0,0.12,0.03,-5.525452939
156,0,0,81.124319,8.697087,25.66360604,1,30.013,0.12,0,0,25.66360604,0,0.12,0.03,-5.746203191
101,1,0,80.91429,8.785554,34.64119942,1,6.37,0.32,0,0,34.64119942,0,0.32,0.23,-4.204692619
84,0,0,80.996966,8.758307,28.59598099,1,23.099,0.32,0,0,28.59598099,0,0.32,0.23,-5.129898715
119,0,0,80.96684,8.709498,53.04491008,1,64.5,0.32,0,0,53.04491008,0,0.32,0.23,-5.476463552
82,0,0,80.965627,8.640702,85.55356012,1,16.592,0.34,0,0,85.55356012,0,0.34,0.25,-5.105945474
135,1,0,81.049521,8.670127,31.50952797,1,28.302,0.34,0,0,31.50952797,0,0.34,0.25,-4.496099091
150,0,0,81.205929,8.60651,12.9905927,1,1198.82,0.049607905,0,0,12.9905927,0,0.049607905,0,-5.707110265
175,0,0,80.327171,8.005432,116.4496347,1,136.783,0.33,0,0,116.4496347,0,0.33,0.24,-5.860786223
148,0,0,80.22956,7.992087,82.05140307,1,275.621,0.33,0,0,82.05140307,0,0.33,0.24,-5.693732139
155,1,0,80.264006,7.976374,79.86838845,1,171.01,0.33,0,0,79.86838845,0,0.33,0.24,-4.634728988
147,0,0,80.36052,7.99403,110.6879667,1,81.482,0.34,0,0,110.6879667,0,0.34,0.25,-5.686975356
140,1,0,80.365108,7.963015,118.6692419,1,269.811,0.34,0,0,118.6692419,0,0.34,0.25,-4.532599493
141,1,1,80.368585,7.945336,128.3812,1,148.19,0.34,0,0,128.3812,0,0.34,0.25,-4.539742381
161,0,0,80.166311,7.913592,72.74310557,1,177.464,0.23,0,0,72.74310557,0,0.23,0.14,-5.777652323
131,0,0,80.212578,7.917886,79.49116956,1,111.629,0.23,0,0,79.49116956,0,0.23,0.14,-5.572154032
159,0,0,80.193732,7.867017,92.64716161,1,102.673,0.23,0,0,92.64716161,0,0.23,0.14,-5.765191103
156,0,0,79.704641,8.113213,5.957330226,1,1207.12,0.18,0,0,5.957330226,0,0.18,0.09,-5.746203191
149,0,0,79.887322,8.210404,46.1987626,1,22.038,0.17,0,0,46.1987626,0,0.17,0.08,-5.700443573
146,0,0,80.076735,8.117898,73.22789637,1,107.826,0.38,0,0,73.22789637,0,0.38,0.29,-5.680172609
