"","x","y","Bungarus_caeruleus.AI.model","Bungarus_ceylonicus.AI.model","Daboia_russellii.AI.model","Echis_carinatus.PPM.model","Hypnale_spp.AI.model","Naja_naja.AI.model","Trimeresurus_trigonocephalus.AI.model","Sum","Agressiv","Severity","Agr.Sev","hum.pop","envenomings","bites","land.cover"
"34",401762.570567719,797316.488324056,1.30506750295467e-07,6.29963266593454e-12,2.37337871578092e-08,4.05503440603638e-07,9.27196788791385e-09,4.09259175437882e-08,1.34488887040818e-10,6.10082652008323e-07,4.80408070344278e-06,4.00719514186628e-06,2.71093348521917e-05,11188.7213718862,0.00220400396282181,0.00314076764088915,3
"36",410952.570567719,797316.488324056,8.35022486711523e-08,5.95011609156714e-14,2.22653973036557e-08,2.45763176032199e-07,8.87794693316124e-09,4.42755584417753e-08,3.03403976421868e-10,4.04987790859526e-07,3.11473718099372e-06,2.75618576411434e-06,1.82213729082792e-05,11200.6506136319,0.00225608200764892,0.00141554176576675,3
"37",415547.570567719,797316.488324056,1.85148184783657e-07,2.23487170453292e-12,1.23099900939394e-07,1.86127128376512e-07,4.41172481879804e-08,1.09930815450632e-07,6.91679000880407e-09,6.55342302618683e-07,4.24869639490508e-06,5.25171553690918e-06,2.97188934965911e-05,64224.6978942225,0.00120733631906791,0.000966735666930492,4
"38",420142.570567719,797316.488324056,2.50123386003054e-07,2.44100383267907e-12,1.51823233762727e-07,1.99862347505242e-07,6.00291524266439e-08,1.1520812570609e-07,1.08158300371475e-08,7.87864516444736e-07,4.95468569118395e-06,6.36178688960032e-06,3.47676440447063e-05,58321.061135219,0.00119051480752076,0.00213320407470446,4
"39",424737.570567719,797316.488324056,2.47889169635584e-07,1.04541398849672e-12,9.38693467400498e-08,4.05600914188398e-07,4.42105565490181e-08,1.2949503847004e-07,2.43248966455556e-09,9.23498560661634e-07,6.40691899631725e-06,6.87561473285022e-06,4.05630508534353e-05,20267.4443636882,0.00157546742462652,0.00160473444981773,3
"40",429332.570567719,797316.488324056,2.60607327717821e-07,6.19557797263987e-13,1.06526315546418e-07,3.72770233569852e-07,5.31076544962872e-08,1.18280765515344e-07,4.90940099337478e-09,9.16202317396895e-07,6.25306491356315e-06,6.8822338157053e-06,3.99094939887565e-05,14654.0264769132,0.00204311843760872,0.00274537304691517,3
"41",433927.570567719,797316.488324056,2.47682281795392e-07,3.53183489242133e-12,1.10656189322711e-07,2.18050633993272e-07,5.68455799099254e-08,9.12517594819917e-08,7.44213008233019e-09,7.31932106420514e-07,4.63049132694328e-06,5.76416966412833e-06,3.10213159516286e-05,12925.5628626708,0.00222094384670477,0.00293727408251521,3
"42",438522.570567719,797316.488324056,2.76066566939903e-07,2.96525154894179e-12,1.16409067052459e-07,3.8898778242924e-07,6.16212125770232e-08,1.41853415458471e-07,3.58840396980087e-09,9.88529413678445e-07,6.72029608672481e-06,7.47671110087088e-06,4.32463130510253e-05,11402.3173627401,0.00212637769550093,0.00301673853401029,3
"43",443117.570567719,797316.488324056,2.6595639646132e-07,1.50257351621049e-12,1.26239408260176e-07,2.79740224873315e-07,6.58331094083309e-08,1.85477029956971e-07,3.27717419174034e-09,9.26524845725369e-07,5.94461109932932e-06,7.37622099930314e-06,4.06738146846903e-05,5234.0688143594,0.00263227102103809,0.00364465332394255,2
"45",452307.570567719,797316.488324056,1.05179945641964e-07,8.97581722082751e-14,5.94139497600565e-08,1.5441670697669e-07,2.827107037362e-08,1.63597155600215e-07,9.83516764557768e-10,5.11862434875276e-07,3.33643623121407e-06,4.13979167037295e-06,2.36114421318667e-05,91.9437364517408,0.0025927824763456,0.00197172554969516,3
"49",401762.570567719,792706.488324056,1.3393351139257e-07,6.22452128072403e-12,3.39665914284026e-08,7.18409111755136e-07,1.3116549346659e-08,8.06292788091412e-08,1.16441737328665e-10,9.80177708990518e-07,8.25870763422127e-06,6.11686771006693e-06,4.5742174446374e-05,4781.41445218602,0.0023084422128944,0.00302716230689694,3
